source_name,source_stream,source_type,image_count,active_days,first_date,last_date,open_source_count,mean_width,mean_height,share_of_images,open_source_rate,rank
citizen.co.za,gdelt_doc_socialimage,news_image,2,2,2025-05-02,2026-01-04,0,768.0,510.0,0.0013689253935660506,0.0,54
edition.cnn.com,gdelt_doc_socialimage,news_image,2,2,2023-12-18,2025-09-07,0,768.0,432.0,0.0013689253935660506,0.0,55
energy.economictimes.indiatimes.com,gdelt_doc_socialimage,news_image,2,2,2023-06-14,2023-12-26,0,768.0,489.0,0.0013689253935660506,0.0,56
fool.com.au,gdelt_doc_socialimage,news_image,2,2,2024-04-23,2025-06-05,0,768.0,432.0,0.0013689253935660506,0.0,57
futures.jrj.com.cn,gdelt_doc_socialimage,news_image,2,2,2023-10-29,2024-03-17,0,500.0,316.5,0.0013689253935660506,0.0,58
houstonchronicle.com,gdelt_doc_socialimage,news_image,2,2,2023-06-24,2023-06-25,0,768.0,512.0,0.0013689253935660506,0.0,59
ibtimes.co.uk,gdelt_doc_socialimage,news_image,2,2,2023-02-06,2023-02-16,0,768.0,512.0,0.0013689253935660506,0.0,60
iranoilgas.com,gdelt_doc_socialimage,news_image,2,2,2023-07-01,2024-04-15,0,375.0,262.5,0.0013689253935660506,0.0,61
marketscreener.com,gdelt_doc_socialimage,news_image,2,2,2023-08-22,2026-01-27,0,609.0,395.5,0.0013689253935660506,0.0,62
money.usnews.com,gdelt_doc_socialimage,news_image,2,2,2023-10-13,2024-04-10,0,768.0,506.5,0.0013689253935660506,0.0,63
nbcchicago.com,gdelt_doc_socialimage,news_image,2,2,2024-11-28,2025-04-04,0,768.0,451.0,0.0013689253935660506,0.0,64
pakobserver.net,gdelt_doc_socialimage,news_image,2,2,2022-05-12,2023-04-15,0,500.0,304.0,0.0013689253935660506,0.0,65
rte.ie,gdelt_doc_socialimage,news_image,2,2,2022-09-23,2024-01-23,0,768.0,431.5,0.0013689253935660506,0.0,66
thestar.com.my,gdelt_doc_socialimage,news_image,2,2,2025-09-14,2025-09-25,0,768.0,496.0,0.0013689253935660506,0.0,67
udn.com,gdelt_doc_socialimage,news_image,2,2,2023-09-10,2025-12-25,0,768.0,542.5,0.0013689253935660506,0.0,68
24.ae,gdelt_doc_socialimage,news_image,1,1,2024-02-01,2024-02-01,0,768.0,439.0,0.0006844626967830253,0.0,69
abc15.com,gdelt_doc_socialimage,news_image,1,1,2022-07-07,2022-07-07,0,768.0,512.0,0.0006844626967830253,0.0,70
albayan.ae,gdelt_doc_socialimage,news_image,1,1,2025-04-16,2025-04-16,0,768.0,419.0,0.0006844626967830253,0.0,71
almontasaf.net,gdelt_doc_socialimage,news_image,1,1,2023-10-27,2023-10-27,0,600.0,315.0,0.0006844626967830253,0.0,72
alwatan.com.sa,gdelt_doc_socialimage,news_image,1,1,2024-01-02,2024-01-02,0,768.0,481.0,0.0006844626967830253,0.0,73
alweeam.com.sa,gdelt_doc_socialimage,news_image,1,1,2024-03-27,2024-03-27,0,605.0,340.0,0.0006844626967830253,0.0,74
ansa.it,gdelt_doc_socialimage,news_image,1,1,2026-04-13,2026-04-13,0,768.0,431.0,0.0006844626967830253,0.0,75
article.wn.com,gdelt_doc_socialimage,news_image,1,1,2022-05-23,2022-05-23,0,468.0,312.0,0.0006844626967830253,0.0,76
beursduivel.be,gdelt_doc_socialimage,news_image,1,1,2024-01-22,2024-01-22,0,768.0,384.0,0.0006844626967830253,0.0,77
bignewsnetwork.com,gdelt_doc_socialimage,news_image,1,1,2025-06-11,2025-06-11,0,600.0,315.0,0.0006844626967830253,0.0,78
bizwatchnigeria.ng,gdelt_doc_socialimage,news_image,1,1,2022-09-19,2022-09-19,0,640.0,347.0,0.0006844626967830253,0.0,79
blikk.hu,gdelt_doc_socialimage,news_image,1,1,2024-12-20,2024-12-20,0,768.0,403.0,0.0006844626967830253,0.0,80
blogs.worldbank.org,gdelt_doc_socialimage,news_image,1,1,2025-11-04,2025-11-04,1,768.0,403.0,0.0006844626967830253,1.0,81
bssnews.net,gdelt_doc_socialimage,news_image,1,1,2025-05-05,2025-05-05,0,750.0,450.0,0.0006844626967830253,0.0,82
bursa.ro,gdelt_doc_socialimage,news_image,1,1,2023-12-11,2023-12-11,0,600.0,399.0,0.0006844626967830253,0.0,83
ceskenoviny.cz,gdelt_doc_socialimage,news_image,1,1,2022-10-05,2022-10-05,0,435.0,290.0,0.0006844626967830253,0.0,84
cleantechnica.com,gdelt_doc_socialimage,news_image,1,1,2024-03-24,2024-03-24,0,768.0,427.0,0.0006844626967830253,0.0,85
cnbcafrica.com,gdelt_doc_socialimage,news_image,1,1,2024-08-06,2024-08-06,0,768.0,432.0,0.0006844626967830253,0.0,86
dailyausaf.com,gdelt_doc_socialimage,news_image,1,1,2025-04-24,2025-04-24,0,700.0,400.0,0.0006844626967830253,0.0,87
dailysabah.com,gdelt_doc_socialimage,news_image,1,1,2025-08-03,2025-08-03,0,768.0,432.0,0.0006844626967830253,0.0,88
dailytrust.com,gdelt_doc_socialimage,news_image,1,1,2024-11-13,2024-11-13,0,768.0,432.0,0.0006844626967830253,0.0,89
delfi.lv,gdelt_doc_socialimage,news_image,1,1,2023-04-04,2023-04-04,0,768.0,614.0,0.0006844626967830253,0.0,90
dnaindia.com,gdelt_doc_socialimage,news_image,1,1,2023-10-10,2023-10-10,0,768.0,432.0,0.0006844626967830253,0.0,91
e15.cz,gdelt_doc_socialimage,news_image,1,1,2025-07-28,2025-07-28,0,768.0,403.0,0.0006844626967830253,0.0,92
edaily.co.kr,gdelt_doc_socialimage,news_image,1,1,2025-03-03,2025-03-03,0,647.0,447.0,0.0006844626967830253,0.0,93
ekbis.sindonews.com,gdelt_doc_socialimage,news_image,1,1,2026-01-29,2026-01-29,0,768.0,511.0,0.0006844626967830253,0.0,94
emirates247.com,gdelt_doc_socialimage,news_image,1,1,2025-02-26,2025-02-26,0,768.0,432.0,0.0006844626967830253,0.0,95
en.trend.az,gdelt_doc_socialimage,news_image,1,1,2024-06-21,2024-06-21,0,587.0,440.0,0.0006844626967830253,0.0,96
energypolicy.columbia.edu,gdelt_doc_socialimage,news_image,1,1,2023-02-01,2023-02-01,0,768.0,431.0,0.0006844626967830253,0.0,97
english.ahram.org.eg,gdelt_doc_socialimage,news_image,1,1,2023-04-02,2023-04-02,0,768.0,511.0,0.0006844626967830253,0.0,98
