selection_context,p,d,q,mse,rmse,mae,mape,direction_acc,selected,history_rows,forecast_origin,label_availability_rule,fold
fold_1,0,0,2,2.7849364280700684,1.6688128798850004,1.3450465202331543,0.01823793537914753,0.8166666666666667,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,0,0,3,3.0373566150665283,1.742801369940513,1.3860678672790527,0.018778260797262192,0.7833333333333333,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,3,0,2,6.671347141265869,2.5828951084521163,1.874466061592102,0.02519669383764267,0.6,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,2,0,1,7.461349010467529,2.7315469994981836,2.112900733947754,0.02844124473631382,0.48333333333333334,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,2,0,2,7.56060266494751,2.7496550083505946,2.141542673110962,0.028831519186496735,0.45,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,3,0,3,7.618677616119385,2.7601952134078096,2.159057140350342,0.029070550575852394,0.43333333333333335,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,2,0,3,7.6759562492370605,2.7705516146134257,2.169114589691162,0.029205240309238434,0.43333333333333335,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,1,0,3,7.711768627166748,2.7770071348786174,2.1764447689056396,0.029303954914212227,0.4166666666666667,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,3,0,0,7.952457904815674,2.8200102667926004,2.221041679382324,0.02990027703344822,0.4,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,3,0,1,8.14867115020752,2.8545877373462387,2.2551462650299072,0.03035757690668106,0.38333333333333336,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,1,0,2,8.156815528869629,2.8560139230874957,2.2588696479797363,0.03040989488363266,0.36666666666666664,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,2,0,0,8.196371078491211,2.862930505354821,2.266031503677368,0.030506320297718048,0.36666666666666664,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,1,1,2,8.258265495300293,2.8737198011114953,2.277498722076416,0.030661052092909813,0.36666666666666664,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,1,0,1,8.306587219238281,2.8821150600276666,2.286071300506592,0.030776670202612877,0.35,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,2,1,2,8.670791625976562,2.9446207949371956,2.351916551589966,0.03166649118065834,0.31666666666666665,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,3,1,3,8.939214706420898,2.989851953930311,2.383606433868408,0.032087165862321854,0.3,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,1,0,0,9.115033149719238,3.0191113178747218,2.4251785278320312,0.03265449404716492,0.26666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,1,1,1,37.852542877197266,6.152442025504772,6.009068489074707,0.08179762214422226,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,3,1,2,37.87419509887695,6.154201418452028,6.010731220245361,0.08181997388601303,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,0,1,0,37.886070251464844,6.15516614328686,6.011848449707031,0.08183549344539642,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,0,1,2,37.94356918334961,6.1598351587805995,6.016606330871582,0.08190032094717026,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,2,1,0,37.95919418334961,6.16110332516422,6.017909526824951,0.08191807568073273,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,2,1,1,37.98735427856445,6.1633882141695775,6.020272254943848,0.081950344145298,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,0,1,1,38.02784729003906,6.166672302793384,6.023628234863281,0.08199608325958252,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,1,1,3,38.02956771850586,6.166811795288215,6.023778915405273,0.08199814707040787,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,1,1,0,38.03879165649414,6.16755961920873,6.024540424346924,0.08200850337743759,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,3,1,1,38.14364242553711,6.176053952608989,6.033273220062256,0.08212762326002121,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,3,1,0,38.34022521972656,6.191948418690725,6.049587726593018,0.08235009759664536,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,0,1,3,38.380714416503906,6.1952170596762715,6.0529327392578125,0.08239571005105972,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_1,2,1,3,38.80500411987305,6.229366269523172,6.087460517883301,0.08286580443382263,0.16666666666666666,False,892,2025-01-22,target_end_strictly_before_forecast_origin,1.0
fold_2,1,0,0,9.224711418151855,3.037221002520537,2.4745595455169678,0.03729022294282913,0.6,True,952,2025-03-23,target_end_strictly_before_forecast_origin,2.0
fold_2,3,1,3,9.267162322998047,3.044201426154,2.4756860733032227,0.03730650618672371,0.6,False,952,2025-03-23,target_end_strictly_before_forecast_origin,2.0
fold_2,2,1,2,9.275713920593262,3.0456056738509765,2.4738683700561523,0.037278275936841965,0.6,False,952,2025-03-23,target_end_strictly_before_forecast_origin,2.0
fold_2,1,0,1,9.363968849182129,3.060060268880685,2.4855692386627197,0.037453893572092056,0.6,False,952,2025-03-23,target_end_strictly_before_forecast_origin,2.0
fold_2,1,1,2,9.377120018005371,3.062208356399899,2.487706422805786,0.037485964596271515,0.6,False,952,2025-03-23,target_end_strictly_before_forecast_origin,2.0
fold_2,2,0,0,9.408576011657715,3.0673402177876707,2.492168664932251,0.037552397698163986,0.6,False,952,2025-03-23,target_end_strictly_before_forecast_origin,2.0
